"id","nombreOA","likes","dislikes","Capacidad","Desempenio","Tema","keyword"
53,"Radicación de números reales",0,0,"Traduce cantidades a expresiones numéricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Numeros irracionales y reales","Potenciación,Radicación"
56,"Tanto por ciento",0,0,"Traduce cantidades a expresiones numéricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","El conjunto Q ","Fracción,Terreno,Adición Fracciones"
63,"Operaciones en el conjunto Z",0,0,"Traduce cantidades a expresiones numéricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","El conjunto Z","Números enteros,Suma,Resta,Multiplicación"
144,"Tema 11 de Gestion de datos",0,0,"Traduce cantidades a expresiones numéricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","CONJUNTO DE LOS NÚMEROS NATURALES","Tema 11 de Gestion de datos"
150,"Regla de Laplace,Probabilidad,Fracción",0,0,"Traduce cantidades a expresiones numéricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Calculo de probabilidades a través de simulación de experimentos aleatorios","Probabilidades,Cálculo aleatorio,Cálculo al azar"
6,"Relaciones entre los conjuntos numéricos",0,0,"Argumenta afirmaciones sobre las relaciones numéricas y las operaciones","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Sistemas numéricos","Sistema numérico,Conjunto I,Conjunto Q"
21,"DESCRIPCIÓN DEL CONJUNTO DE NÚMEROS NATURALES",0,0,"Argumenta afirmaciones sobre las relaciones numéricas y las operaciones","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","CONJUNTO DE LOS NÚMEROS NATURALES","PROPIEDADES DE LA SUMA"
83,"Operaciones en N",0,0,"Traduce cantidades a expresiones numéricas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Numeros naturales","Variación,Operaciones con números enteros (adición y sustracción)."
23,"Números enteros y racionales: invenciones humanas para resolver problemas. Reconocimiento de números relativos.",0,0,"Comunica su comprensión sobre los números y las operaciones","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Reconocimiento de números racionales","Parte/todo,Fracciones,Racionales"
24,"Números enteros y racionales: invenciones humanas para resolver problemas. Reconocimiento de números relativos.",0,0,"Comunica su comprensión sobre los números y las operaciones","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Reconocimiento de números racionales","Capacidad,Fracciones,Números racionales"
25,"Números enteros y racionales: invenciones humanas para resolver problemas. Reconocimiento de números relativos.",0,0,"Comunica su comprensión sobre los números y las operaciones","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Números enteros y racionales.","Números enteros negativos,Gasto,Operaciones con números enteros"
26," Problemas con números enteros a partir de los números relativos.",0,0,"Comunica su comprensión sobre los números y las operaciones","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Números enteros y racionales.","Operaciones con números enteros,Línea del tiempo,Recta numérica"
27," Problemas con números enteros a partir de los números relativos.",0,0,"Comunica su comprensión sobre los números y las operaciones","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","El conjunto N","Adición y sustracción con números enteros,Enteros positivos y negativos"
28,"Capital, interés",0,0,"Comunica su comprensión sobre los números y las operaciones","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Interes financiero","Ley de los signos para la división,Dividendo, divisor y cociente,Números enteros positivos y negativos,División exacta e inexacta"
48,"Problemas con números enteros",3,0,"Comunica su comprensión sobre los números y las operaciones","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Números enteros","Marea,números enteros"
51,"Operaciones con enteros y racionales",0,0,"Comunica su comprensión sobre los números y las operaciones","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","El conjunto Q ","Operaciones,Enteros,Sustraccion"
54,"Combinaciones",1,0,"Comunica su comprensión sobre los números y las operaciones","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Análisis combinatorio","Fracción,Repartición"
55,"Operaciones con el conjunto Q",0,0,"Comunica su comprensión sobre los números y las operaciones","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","El conjunto Q ","Fracción "
79,"Operaciones en Z",0,0,"Comunica su comprensión sobre los números y las operaciones","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Números enteros ","Magnitudes directamente proporcionales,Magnitudes inversamente proporcionales,Equivalencia"
13,"Operaciones en el conjunto Q. Porcentajes.",1,0,"Usa estrategias y procedimientos de estimación y cálculo","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","El conjunto Q ","Cálculo,Estimaciones,Unidades monetarias"
15,"División en N",1,0,"Usa estrategias y procedimientos de estimación y cálculo","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Velocidad","Velocidad,Distancia,Tiempo"
49,"",0,0,"Usa estrategias y procedimientos de estimación y cálculo","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Números enteros y racionales: invenciones humanas para resolver problemas. Identificación de las operaciones con números enteros","Adición,Cancelar,Pagar"
30,"Problemas con números racionales",0,0,"Comunica su comprensión sobre los números y las operaciones.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","El conjunto Q ","Fracciones,Equivalencia entre fracciones,Parte = suma de las partes"
31,"Números enteros y racionales. Invenciones humanas para resolver problemas. Identificación del conjunto de los números racionales",0,0,"Comunica su comprensión sobre los números y las operaciones.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","El conjunto Q ","Valor posicional"
41,"Operaciones en Q",0,0,"Comunica su comprensión sobre los números y las operaciones.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","LOS NUMEROS RACIONALES","Valor posicional,Numeros relativos"
18,"Proporcionalidad porcentual",0,0,"Traduce cantidades a expresiones numéricas. Comunica  su  comprensión  sobre  los  números  y  las  operaciones. Comunica  su  c","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Análisis de situaciones de tipo numérico de asociadas al cambio y variación","Porcentajes,Aumentos y descuentos"
16,"Sistemas numéricos",0,0,"Traduce cantidades a expresiones numéricas. Usa estrategias y procedimientos de estimación y cálculo","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Caracterización de los números figurados","Conteo de números,Operaciones con números"
20,"Comparación de medidas de masa expresadas con unidades del sistema internacional de medidas",0,0,"Traduce cantidades a expresiones numéricas. Usa estrategias y procedimientos de estimación y cálculo","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Unidades de masa S.I.","Operaciones combinadas,Unidades de medida"
47,"Problemas con edades",0,0,"Traduce cantidades a expresiones numéricas. Usa estrategias y procedimientos de estimación y cálculo","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Edades","Adicion de enteros,años de trabajo"
32,"",0,0,"Comunica su comprensión sobre los números y las operaciones. Usa estrategias y procedimientos de estimación y cálculo.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Números enteros y racionales. Invenciones humanas para resolver problemas. Identificación de las representaciones de números racionales","Total = Suma de partes,Operaciones con Fracciones,Razón"
33,"",0,0,"Comunica su comprensión sobre los números y las operaciones. Usa estrategias y procedimientos de estimación y cálculo.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Números enteros y racionales. Invenciones humanas para resolver problemas. Identifican las operaciones con números racionales.","Todo - parte = Parte,Operaciones con fracciones,Razón"
42,"Adición y sustracción en Z",0,0,"Comunica su comprensión sobre los números y las operaciones. Usa estrategias y procedimientos de estimación y cálculo.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Conjunto Z","Enteros,Altura sobre el nivel del mar"
22,"DESCRIPCIÓN DEL CONJUNTO DE NÚMEROS ENTEROS",0,0,"Comunica  su  comprensión  sobre  los  números  y  las  operaciones","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","El conjunto de números enteros y racionales","Recta numerica,Numeros enteros,Operaciones con números enteros"
8,"El principio de multiplicación como una técnica de conteo",1,0,"Traduce cantidades a expresiones numéricas. Comunica  su  comprensión  sobre  los  números  y  las  operaciones. Usa estrategias","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","El sistema numérico N","Multiplicación"
34,"Comparación de medidas de longitud expresadas con unidades del sistema internacional y el sistema inglés.",0,0,"Usa estrategias y procedimientos de estimación y cálculo.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Medidas de longitud en el S.I. y Sistema inglés","División de números racionales,Equivalencias y conversiones,Sistema internacional de medidas,Sistema Inglés de unidades"
50,"Multiplicación de números enteros",0,0,"Usa estrategias y procedimientos de estimación y cálculo.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Números enteros","Producto,Enteros,Signos iguales"
52,"Division de números enteros",0,0,"Usa estrategias y procedimientos de estimación y cálculo.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Números enteros","División,Enteros,Ley signos"
57,"Razones y proporciones",4,0,"Usa estrategias y procedimientos de estimación y cálculo.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Proporcionalidad ","Parte fracción, Suma de fracciones"
58,"Conversion de °k a °C",0,0,"Usa estrategias y procedimientos de estimación y cálculo.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Unidades de medida de temperatura en el S. I.","Sistema internacional de medidas,Sistema ingles de medidas"
59,"Conversiones de libras a kilogramos",0,0,"Usa estrategias y procedimientos de estimación y cálculo.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Unidades de masa S.I.","Conversiones,Sistema ingles,Libras"
60,"Conversion de galones a litros",0,0,"Usa estrategias y procedimientos de estimación y cálculo.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Unidades de volúmen. Proporcionalidad.","Galones,Litros,Conversiones"
61,"Conversión de dias a horas, minutos y segundos",0,0,"Usa estrategias y procedimientos de estimación y cálculo.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Unidades de tiempo","Horas,Minutos,Conversiones"
62,"Cálculo de la determinante de una matriz de 2x2",0,0,"Usa estrategias y procedimientos de estimación y cálculo.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Determinantes","Matriz 2x2, Cramer,Determinante"
35,"Comparación de medidas de masa expresadas con unidades del sistema internacional y el sistema inglés.",0,0,"Traduce cantidades a expresiones numéricas. Usa estrategias y procedimientos de estimación y cálculo.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Medidas de masa en el S.I. y Sistema inglés","Conversiones y equivalencias,Sistema internacional de medidas,Sistema inglés,Masa"
45,"Problemas de capacidad",0,0,"Traduce cantidades a expresiones numéricas. Usa estrategias y procedimientos de estimación y cálculo.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Volumen en el S.I.","Evaporación,Enteros"
10,"Emplea la notación científica como una herramienta para escribir números grandes y pequeños",1,0,"Traduce cantidades a expresiones numéricas. Comunica  su  comprensión  sobre  los  números  y  las  operaciones","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Notación cientifica","Notación científica,Notación exponencial"
17,"Analiza propiedades de correlación entre variables en situaciones de proporcionalidad directa e inversa",0,0,"Comunica  su  comprensión  sobre  los  números  y  las  operaciones. Usa estrategias y procedimientos de estimación y cálculo","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Proporcionalidad directa e inversa","Fracciones,Decimales,Parte-todo"
14,"Relaciones numéricas",1,0,"Traduce cantidades a expresiones numéricas. Comunica  su  comprensión  sobre  los  números  y  las  operaciones. Usa estrategias","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Reconocimiento de números relativos","Números enteros,Operaciones con números enteros"
19,"Reconocimiento de distintas representaciones de situaciones de cambio y variación",2,0,"Traduce cantidades a expresiones numéricas(1°) - Usa estrategias y procedimientos de estimación y cálculo(1°) - Traduce cantidad","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Representaciones de cambio y variación","Precios,Ganancias,Perdidas"
75,"Área de un cuadrado",0,0,"Traduce datos y condiciones a expresiones algebraicas y gráficas. Comunica su comprensión sobre las relaciones algebraicas. Usa estrategias y procedimientos para encontrar equivalencias y reglas generales. Argumenta afirmaciones sobre relaciones de cambio y equivalencia.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Área de polígonos regulares","BINOMIO CUADRADO PERFECTO"
72,"Ecuaciones de primer grado",0,0,"Usa estrategias y procedimientos para encontrar equivalencias","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Ecuaciones","Ecuación, términos, incógnita."
76,"Ecuaciones de primer grado",0,0,"Traduce datos y condiciones a expresiones algebraicas y gráficas - Usa estrategias y procedimientos para encontrar equivalencias y reglas generales","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Ecuaciones","Ecuaciones con una variable,Ecuaciones lineales,Ecuaciones de primer grado"
78,"Ecuaciones de primer grado",0,0,"Traduce datos y condiciones a expresiones algebraicas y gráficas. Comunica su comprensión sobre las relaciones algebraicas. Argumenta afirmaciones sobre relaciones de cambio y equivalencia.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Ecuaciones","Ecuaciones de primer grado,Ecuaciones lineales"
70,"operaciones con expresiones algebraicas",0,0,"Traduce datos y condiciones a expresiones algebraicas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Expresiones algebraicas","Expresión algebraica,Términos,Condiciones"
71,"Comunicandonos con expresiones algebraicas",0,0,"Traduce datos y condiciones a expresiones algebraicas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Expresiones algebraicas","Variable, términos, expresiones algebraicas."
64,"Concepto de función",0,0,"Traduce datos y condiciones a expresiones algebraicas y gráficas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Función","Función,Magnitudes,Variables"
65,"Función afín lineal",0,0,"Traduce datos y condiciones a expresiones algebraicas y gráficas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Función lineal y afín.","Función,Función Lineal,Función afín lineal,Variable independiente"
67,"Caracteristicas de la función cuadrática",0,0,"Traduce datos y condiciones a expresiones algebraicas y gráficas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Función cuadrática","Función cuadrática,Máximo,Mínimo,Vértice"
68,"Características de la función exponencial",0,0,"Traduce datos y condiciones a expresiones algebraicas y gráficas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Función exponencial.","Función exponencial,Exponente"
69,"Problemas con funciones exponenciales",0,0,"Traduce datos y condiciones a expresiones algebraicas y gráficas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Función exponencial.","Función exponencial,Exponente,Regularidad,Expresión algebraica"
74,"Técnicas de conteo",0,0,"Traduce datos y condiciones a expresiones algebraicas y gráficas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Modelización","Técnica de conteo,Posibilidades"
66,"Polinomio de primer grado",0,0,"Usa estrategias y procedimientos para encontrar equivalencia y reglas generales.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Gráfica de un polinomio","Pendiente,Ecuación de la recta,Tangente"
73,"Inecuaciones de primer grado",0,0,"Usa estrategias y procedimientos para encontrar equivalencias.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Inecuaciones","Inecuación,Desigualdad,Intervalo"
77,"Inecuaciones de primer grado",0,0,"Usa estrategias y procedimientos para encontrar equivalencias y reglas generales. Argumenta afirmaciones sobre relaciones de cambio y equivalencia.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Inecuaciones","Ecuaciones,Inecuaciones"
80,"Fracciones ",0,0,"Argumenta afirmaciones sobre relaciones de cambio y equivalencia","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Números racionales. Invenciones humanas para resolver probIemas. Identificación de las operaciones con números enteros.","Comparación de Fracciones,Operaciones con fracciones,Todo/parte,Fraciones propias e impropias"
85,"Patrones ",0,0,"Usa estrategias y procedimientos para encontrar equivalencias y reglas generales","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Progresion aritmética","Triangulo,Piramide,Patrones graficos"
81,"Regla de tres simple",0,0,"Traduce datos y condiciones a expresiones algebraicas y gráficas. ","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Proporcionalidad","Regla de tres simple,Equivalencia,Magnitudes directa e inversamente proporcionales"
82,"proporcionalidad directa",0,0,"Traduce datos y condiciones a expresiones algebraicas y gráficas. ","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Proporcionalidad","Equivalencia,Proporciones: parte y todo"
84,"proporcionalidad directa",0,0,"Traduce datos y condiciones a expresiones algebraicas y gráficas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Proporcionalidad","Función lineal,Variable,Relación entre magnitudes directa e inversamente proporcionales"
86,"Expresión algebraica, áreas, baldosas.",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Expresiones algebraicas y áreas.","Expresión algebraica, áreas, baldosas."
88,"Balancin, ángulos, grados sexagesimales.",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Medidas de ángulos","Balancin, ángulos, transportador, grados sexagesimales."
90,"Construcción de ángulos con regla y compás",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Ángulos","Ángulo, arco, vértice, grados sexagesimales."
92,"Incentro,Bisectríz,Bisecar",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Puntos notables del triángulo","Incentro,Bisectriz,Bisecar"
93,"Circuncentro,Mediana,Perpendicularidad,Punto medio.",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Puntos notables en el triángulo","Circuncentro,Mediana,Perpendicularidad,Punto medio."
94,"Baricentro,Mediatriz,Punto notable,Punto medio",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Puntos notables del triángulo","Baricentro,Mediatriz,Punto notable,Punto medio"
99,"Area total y lateral de un cilindro",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Area de un cilindro","Cilindro, área, radio, altura, generatríz, volúmen."
125,"Herramientas tecnológicas paa calcular áreas,Figuras planos,Planos",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","La geometría del triángulo, figuras, formas y representaciones de objetos. Utilización de herramientas tencológicas en la caracterización de figuras semejantes.","Herramientas tecnológicas paa calcular áreas,Figuras planos,Planos"
126,"Herramientas tecnológicas,Volumenes de sólidos geométricos",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","La geometría del triángulo, figuras, formas y representaciones de objetos. Utilización de herramientas tencológicas en la caracterización de figuras semejantes.","Herramientas tecnológicas,Volumenes de sólidos geométricos"
129,"Prisma,Piramide,Rectangular",0,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Conozcamos otros sistemas de medidas, el Sistema internacional y el Sistema ingles. Interpretación de la medida del área de una figura inmersa en un contexto","Hectárea,Metros Cuadrados"
132,"Thales,Semejanza de Triángulos.",1,0,"Usa estrategias y procedimientos para medir y orientarse en el espacio.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","La geometría del triángulo: figuras formas y representación de objetos. Interpretación del primer teorema de Thales","Thales,Semejanza,Triangulo"
89,"Ángulos, rectas paralelas, secante, congruencia, alternos internos,correspondientes",0,1,"Argumenta afirmaciones sobre relaciones geométricas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Ángulos formados por dos rectas paralelas y una secante","Ángulos, rectas paralelas, secante, congruencia, alternos internos,correspondientes"
91,"Suma de los ángulos internos en un triángulo.",0,0,"Argumenta afirmaciones sobre relaciones geométricas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Propiedades de los triángulos","Ángulos internos,Propiedades del triángulo"
95,"Diagonal,Triángulo rectángulo,Cateto,Hipotenusa.",0,0,"Argumenta afirmaciones sobre relaciones geométricas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Triángulo rectángulo","Diagonal,Triángulo rectángulo,Cateto,Hipotenusa."
120,"Números figurados,Figuras geométricas planas",0,0,"Argumenta afirmaciones sobre relaciones geométricas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","La geometría del triángulo: figuras, formas y representaciones de objetos. Caracterización de los números figurados.","Números figurados,Figuras geométricas planas"
96,"Congruencia de triángulos",3,0,"Comunica su comprensión sobre las formas y relaciones geométricas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Triángulos","Congruencia,Objetos,Triángulos."
97,"Tipos de cilindros",0,0,"Comunica su comprensión sobre las formas y relaciones geométricas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Cilindro ","Cilindro,Oblícuo,Base circular,Base elíptica."
123,"Teorema de Thales,Semejanza de triángulos",0,0,"Comunica su comprensión sobre las formas y relaciones geométricas.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","La geometeía del triángulo; figuras, formas y representaciones de objetos. Representación del primer teorema de Thales.","Teorema de Thales,Semejanza de triángulos"
102,"Pendiente de una recta,Distancia entre dos puntos",0,0,"Modela objetos con formas geométricas y sus transformaciones ( 3°) - Argumenta afirmaciones sobre relaciones geométricas. (2°)","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Caracterización de la gráfica de un polinomio a partir de su expresión algebraica","Pendiente de una recta,Distancia entre dos puntos"
87,"Tales, triángulo recto, rectas paralelas, segmentos.",0,0,"Modela objetos con formas geométricas y sus transformaciones.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Teorema de Thales","Tales, triángulo recto, rectas paralelas, segmentos."
100,"Cono,Radio,Altura,Base,Vértice.",0,0,"Modela objetos con formas geométricas y sus transformaciones.","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Cono","Cono,Radio,Altura,Base,Vértice."
